id,journal_id,tx_template_id,external_id,correlation_id,effective,created_at
01a07756-fee3-7710-a2b5-5a0f151caeab,01a07756-fde8-77c2-85e0-e4094b6c94c7,01a07756-fec3-70c1-8e56-e395a0041c22,,01a07756-fee3-7710-a2b5-5a0f151caeab,2026-09-06,2026-09-06 15:29:45.191124+00
01a07757-0cfb-7e12-ac82-34b46b927c1f,01a07757-074f-7882-bc35-1710e26d5cc9,01a07757-07c8-7a02-8400-4645b89de9e7,,01a07757-0cfb-7e12-ac82-34b46b927c1f,2026-09-06,2026-09-06 15:29:48.795824+00
01a07757-0e13-7770-ae51-5c5cfba49b4a,01a07757-0a09-79f2-9f43-57f9f2a2b525,01a07757-0ca5-7c13-bf3b-ebb367352212,,01a07757-0e13-7770-ae51-5c5cfba49b4a,2026-09-06,2026-09-06 15:29:49.081534+00
01a07757-0f7f-7682-80a8-3e8f60688389,01a07757-09ef-7c23-96ec-b5ba0ca88215,01a07757-0b74-79f3-911f-e8dacfa563f6,,01a07757-0f7f-7682-80a8-3e8f60688389,2026-09-06,2026-09-06 15:29:49.440454+00
01a07757-18f6-7e71-8aab-68f8b0fabff6,01a07757-188b-7803-b9a9-ee97969e21e1,01a07757-18bc-7c53-9973-d88b99a824d4,,01a07757-18f6-7e71-8aab-68f8b0fabff6,2026-09-06,2026-09-06 15:29:51.863331+00
01a07757-350d-7be1-8d29-a9ff64feea2a,01a07757-3415-71b1-8a31-162540732dc7,01a07757-345c-7e61-be72-a075e7913771,,01a07757-350d-7be1-8d29-a9ff64feea2a,2026-09-06,2026-09-06 15:29:59.053967+00
01a07757-35db-7f92-81aa-dfdf30585845,01a07757-3417-7df3-8b4f-15889efd2142,01a07757-34c6-7571-b2da-d665dbe8b7e4,,01a07757-35db-7f92-81aa-dfdf30585845,2026-09-06,2026-09-06 15:29:59.260646+00
01a07757-3763-77d0-b523-7ba87840a38f,01a07757-36d2-74a1-b38b-f19ee7674061,01a07757-3757-7c31-b2f1-ee48e9c1d3ee,,01a07757-3763-77d0-b523-7ba87840a38f,2026-09-06,2026-09-06 15:29:59.652113+00
01a07757-378f-7603-ad5b-3676bf947f44,01a07757-36d2-74a1-b38b-f19ee7674061,01a07757-3757-7c31-b2f1-ee48e9c1d3ee,,01a07757-378f-7603-ad5b-3676bf947f44,2026-09-06,2026-09-06 15:29:59.696662+00
01a07757-3b63-7972-a026-7760f96394d3,01a07757-3b27-7851-90f4-9925c833b007,01a07757-3b58-7d02-94ec-0fd83b56f781,,01a07757-3b63-7972-a026-7760f96394d3,2025-06-15,2025-06-15 10:30:00+00
01a07757-3c5d-7671-84dc-d4959a51338b,01a07757-3ae8-7cb0-a046-09c1ef040890,01a07757-3c52-7300-a4ed-ab9a49fc88ad,,01a07757-3c5d-7671-84dc-d4959a51338b,2025-09-21,2025-09-21 08:15:00+00
01a07757-3ca2-7811-81a6-d17b7b0f887d,01a07757-3bb6-7260-8642-37791ed35604,01a07757-3c9b-71f2-b5f3-2c9e0dd849e9,,01a07757-3ca2-7811-81a6-d17b7b0f887d,2025-03-01,2025-03-01 09:00:00+00
01a07757-3cb4-79d0-86f6-60f96bca5918,01a07757-3add-7432-9975-8ba6425c01b7,01a07757-3b1e-7b82-b8a8-370240989c94,,01a07757-3cb4-79d0-86f6-60f96bca5918,2025-01-01,2025-01-01 12:00:00+00
01a07757-3cbf-7711-94bc-0ad64b148f80,01a07757-3bb6-7260-8642-37791ed35604,01a07757-3c9b-71f2-b5f3-2c9e0dd849e9,,01a07757-3cbf-7711-94bc-0ad64b148f80,2025-03-15,2025-03-15 16:30:00+00
01a07757-3cd4-7120-8c10-ba154a2df7bb,01a07757-3add-7432-9975-8ba6425c01b7,01a07757-3b1e-7b82-b8a8-370240989c94,,01a07757-3cd4-7120-8c10-ba154a2df7bb,2025-12-25,2025-12-25 14:00:00+00
01a07757-6c88-7f42-8839-f396ba4fcbdd,01a07757-6ae8-7753-a09e-e8bccbc3b14a,01a07757-6c70-7023-b7fb-344c474e43a1,,01a07757-6c88-7f42-8839-f396ba4fcbdd,2025-06-10,2026-09-06 15:30:13.258614+00
01a07757-6e28-76d2-9314-eb93e8054763,01a07757-6b08-7150-a534-2b0b7828eef8,01a07757-6e13-78c2-b652-9e9a688195ae,,01a07757-6e28-76d2-9314-eb93e8054763,2025-11-01,2026-09-06 15:30:13.67864+00
01a07757-6e50-74a0-b84c-090caea094f3,01a07757-6af1-7963-9fe2-4daee4acb105,01a07757-6e39-7242-bcc5-7915d04dea84,,01a07757-6e50-74a0-b84c-090caea094f3,2025-06-11,2026-09-06 15:30:13.717793+00
