id,journal_id,account_id,transaction_id,account_is_account_set,created_at
01a07756-feef-7e63-8f22-68177276211a,01a07756-fde8-77c2-85e0-e4094b6c94c7,01a07756-fe06-7bc1-a12f-a5d7e53c712b,01a07756-fee3-7710-a2b5-5a0f151caeab,f,2026-09-06 15:29:45.191124+00
01a07756-fef0-7de0-aca5-8bc97659a484,01a07756-fde8-77c2-85e0-e4094b6c94c7,01a07756-fe06-7bc1-a12f-a5e31f818282,01a07756-fee3-7710-a2b5-5a0f151caeab,f,2026-09-06 15:29:45.191124+00
01a07756-fef0-7de0-aca5-8bdb786ee9e6,01a07756-fde8-77c2-85e0-e4094b6c94c7,01a07756-fe06-7bc1-a12f-a5d7e53c712b,01a07756-fee3-7710-a2b5-5a0f151caeab,f,2026-09-06 15:29:45.191124+00
01a07756-fef0-7de0-aca5-8bed3122e6a7,01a07756-fde8-77c2-85e0-e4094b6c94c7,01a07756-fe06-7bc1-a12f-a5e31f818282,01a07756-fee3-7710-a2b5-5a0f151caeab,f,2026-09-06 15:29:45.191124+00
01a07756-fef1-7fe1-8694-eb09c61cecf1,01a07756-fde8-77c2-85e0-e4094b6c94c7,01a07756-fe06-7bc1-a12f-a5d7e53c712b,01a07756-fee3-7710-a2b5-5a0f151caeab,f,2026-09-06 15:29:45.191124+00
01a07756-fef1-7fe1-8694-eb18acdeacc1,01a07756-fde8-77c2-85e0-e4094b6c94c7,01a07756-fe06-7bc1-a12f-a5e31f818282,01a07756-fee3-7710-a2b5-5a0f151caeab,f,2026-09-06 15:29:45.191124+00
01a07757-0d05-7800-8867-ac930d86bcd1,01a07757-074f-7882-bc35-1710e26d5cc9,01a07757-076a-7012-8b97-bb680895f24f,01a07757-0cfb-7e12-ac82-34b46b927c1f,f,2026-09-06 15:29:48.795824+00
01a07757-0d09-7d51-bac0-769540dbdf05,01a07757-074f-7882-bc35-1710e26d5cc9,01a07757-076a-7012-8b97-bb77c1312dcd,01a07757-0cfb-7e12-ac82-34b46b927c1f,f,2026-09-06 15:29:48.795824+00
01a07757-0d09-7d51-bac0-76a747a9625e,01a07757-074f-7882-bc35-1710e26d5cc9,01a07757-076a-7012-8b97-bb680895f24f,01a07757-0cfb-7e12-ac82-34b46b927c1f,f,2026-09-06 15:29:48.795824+00
01a07757-0d0d-7ed3-9709-f9dee857237d,01a07757-074f-7882-bc35-1710e26d5cc9,01a07757-076a-7012-8b97-bb77c1312dcd,01a07757-0cfb-7e12-ac82-34b46b927c1f,f,2026-09-06 15:29:48.795824+00
01a07757-0d0d-7ed3-9709-f9eb2ece737b,01a07757-074f-7882-bc35-1710e26d5cc9,01a07757-076a-7012-8b97-bb680895f24f,01a07757-0cfb-7e12-ac82-34b46b927c1f,f,2026-09-06 15:29:48.795824+00
01a07757-0d0e-7830-a3a6-2a7ecfae31de,01a07757-074f-7882-bc35-1710e26d5cc9,01a07757-076a-7012-8b97-bb77c1312dcd,01a07757-0cfb-7e12-ac82-34b46b927c1f,f,2026-09-06 15:29:48.795824+00
01a07757-0e3f-7103-a612-358d4109000f,01a07757-0a09-79f2-9f43-57f9f2a2b525,01a07757-0b28-7eb3-891b-3f582d58865e,01a07757-0e13-7770-ae51-5c5cfba49b4a,f,2026-09-06 15:29:49.081534+00
01a07757-0e40-7940-be26-e6e1087e25b8,01a07757-0a09-79f2-9f43-57f9f2a2b525,01a07757-0b28-7eb3-891b-3f7572093948,01a07757-0e13-7770-ae51-5c5cfba49b4a,f,2026-09-06 15:29:49.081534+00
01a07757-0e43-7351-a7a0-0f09e5669a44,01a07757-0a09-79f2-9f43-57f9f2a2b525,01a07757-0b28-7eb3-891b-3f582d58865e,01a07757-0e13-7770-ae51-5c5cfba49b4a,f,2026-09-06 15:29:49.081534+00
01a07757-0e43-7351-a7a0-0f17c7fa31d1,01a07757-0a09-79f2-9f43-57f9f2a2b525,01a07757-0b28-7eb3-891b-3f7572093948,01a07757-0e13-7770-ae51-5c5cfba49b4a,f,2026-09-06 15:29:49.081534+00
01a07757-0e43-7351-a7a0-0f2ae2772c37,01a07757-0a09-79f2-9f43-57f9f2a2b525,01a07757-0b28-7eb3-891b-3f582d58865e,01a07757-0e13-7770-ae51-5c5cfba49b4a,f,2026-09-06 15:29:49.081534+00
01a07757-0e44-7071-a70c-6dbb6c26fe16,01a07757-0a09-79f2-9f43-57f9f2a2b525,01a07757-0b28-7eb3-891b-3f7572093948,01a07757-0e13-7770-ae51-5c5cfba49b4a,f,2026-09-06 15:29:49.081534+00
01a07757-0f8c-7353-bd2a-70065730d354,01a07757-09ef-7c23-96ec-b5ba0ca88215,01a07757-0b03-75c2-bffa-22e7c4c57acf,01a07757-0f7f-7682-80a8-3e8f60688389,f,2026-09-06 15:29:49.440454+00
01a07757-0f8c-7353-bd2a-701d06d34d61,01a07757-09ef-7c23-96ec-b5ba0ca88215,01a07757-0b03-75c2-bffa-22fc48247820,01a07757-0f7f-7682-80a8-3e8f60688389,f,2026-09-06 15:29:49.440454+00
01a07757-0f8d-74b1-bbbb-247c3d45fce1,01a07757-09ef-7c23-96ec-b5ba0ca88215,01a07757-0b03-75c2-bffa-22e7c4c57acf,01a07757-0f7f-7682-80a8-3e8f60688389,f,2026-09-06 15:29:49.440454+00
01a07757-0f8d-74b1-bbbb-2481ded72d77,01a07757-09ef-7c23-96ec-b5ba0ca88215,01a07757-0b03-75c2-bffa-22fc48247820,01a07757-0f7f-7682-80a8-3e8f60688389,f,2026-09-06 15:29:49.440454+00
01a07757-0f8d-74b1-bbbb-2494924b8215,01a07757-09ef-7c23-96ec-b5ba0ca88215,01a07757-0b03-75c2-bffa-22e7c4c57acf,01a07757-0f7f-7682-80a8-3e8f60688389,f,2026-09-06 15:29:49.440454+00
01a07757-0f91-7a53-9f13-1aa8ea385cd2,01a07757-09ef-7c23-96ec-b5ba0ca88215,01a07757-0b03-75c2-bffa-22fc48247820,01a07757-0f7f-7682-80a8-3e8f60688389,f,2026-09-06 15:29:49.440454+00
01a07757-18fc-7f52-99ba-e8231e9c68b0,01a07757-188b-7803-b9a9-ee97969e21e1,01a07757-1898-72a3-a398-1b27162c6904,01a07757-18f6-7e71-8aab-68f8b0fabff6,f,2026-09-06 15:29:51.863331+00
01a07757-18fd-7be0-9dec-3c60a68f7e8f,01a07757-188b-7803-b9a9-ee97969e21e1,01a07757-1898-72a3-a398-1b35d11e5a04,01a07757-18f6-7e71-8aab-68f8b0fabff6,f,2026-09-06 15:29:51.863331+00
01a07757-18fd-7be0-9dec-3c78e3e054bf,01a07757-188b-7803-b9a9-ee97969e21e1,01a07757-1898-72a3-a398-1b27162c6904,01a07757-18f6-7e71-8aab-68f8b0fabff6,f,2026-09-06 15:29:51.863331+00
01a07757-18fd-7be0-9dec-3c8665dfdf43,01a07757-188b-7803-b9a9-ee97969e21e1,01a07757-1898-72a3-a398-1b35d11e5a04,01a07757-18f6-7e71-8aab-68f8b0fabff6,f,2026-09-06 15:29:51.863331+00
01a07757-18fd-7be0-9dec-3c9eddc6275a,01a07757-188b-7803-b9a9-ee97969e21e1,01a07757-1898-72a3-a398-1b27162c6904,01a07757-18f6-7e71-8aab-68f8b0fabff6,f,2026-09-06 15:29:51.863331+00
01a07757-18fd-7be0-9dec-3ca5529d27ad,01a07757-188b-7803-b9a9-ee97969e21e1,01a07757-1898-72a3-a398-1b35d11e5a04,01a07757-18f6-7e71-8aab-68f8b0fabff6,f,2026-09-06 15:29:51.863331+00
01a07757-3515-71f1-8ce5-cbee1a2ad5b3,01a07757-3415-71b1-8a31-162540732dc7,01a07757-341e-7642-baf5-e55ce7ab13c8,01a07757-350d-7be1-8d29-a9ff64feea2a,f,2026-09-06 15:29:59.053967+00
01a07757-3516-7c01-a862-b58d7d76d40b,01a07757-3415-71b1-8a31-162540732dc7,01a07757-341e-7642-baf5-e569d73c438d,01a07757-350d-7be1-8d29-a9ff64feea2a,f,2026-09-06 15:29:59.053967+00
01a07757-3516-7c01-a862-b5972451f009,01a07757-3415-71b1-8a31-162540732dc7,01a07757-341e-7642-baf5-e55ce7ab13c8,01a07757-350d-7be1-8d29-a9ff64feea2a,f,2026-09-06 15:29:59.053967+00
